mol_id,label,num_nodes,num_edges,csv_row,file_path
76,289.15,14,14,76,graph_npz/batch_0/76.npz
77,284.15,15,15,77,graph_npz/batch_0/77.npz
78,273.15,13,13,78,graph_npz/batch_0/78.npz
79,195.15,10,9,79,graph_npz/batch_0/79.npz
80,220.15,14,13,80,graph_npz/batch_0/80.npz
81,346.15,11,10,81,graph_npz/batch_0/81.npz
82,361.35,10,9,82,graph_npz/batch_0/82.npz
83,443.15,38,41,83,graph_npz/batch_0/83.npz
84,493.15,36,40,84,graph_npz/batch_0/84.npz
85,513.15,68,75,85,graph_npz/batch_0/85.npz
86,451.15,62,69,86,graph_npz/batch_0/86.npz
87,472.15,20,21,87,graph_npz/batch_0/87.npz
88,494.15,76,84,88,graph_npz/batch_0/88.npz
89,470.15,47,52,89,graph_npz/batch_0/89.npz
90,512.15,54,59,90,graph_npz/batch_0/90.npz
91,306.15,37,38,91,graph_npz/batch_0/91.npz
92,303.15,41,42,92,graph_npz/batch_0/92.npz
93,358.15,35,37,93,graph_npz/batch_0/93.npz
94,363.15,33,35,94,graph_npz/batch_0/94.npz
95,389.15,31,33,95,graph_npz/batch_0/95.npz
96,290.15,33,34,96,graph_npz/batch_0/96.npz
97,280.65,30,31,97,graph_npz/batch_0/97.npz
98,289.15,27,28,98,graph_npz/batch_0/98.npz
99,312.15,24,25,99,graph_npz/batch_0/99.npz
100,488.15,35,39,100,graph_npz/batch_0/100.npz
101,508.15,39,43,101,graph_npz/batch_0/101.npz
102,463.15,40,44,102,graph_npz/batch_0/102.npz
103,459.15,41,45,103,graph_npz/batch_0/103.npz
104,513.15,73,82,104,graph_npz/batch_0/104.npz
105,463.15,75,84,105,graph_npz/batch_0/105.npz
106,469.15,77,86,106,graph_npz/batch_0/106.npz
107,360.15,64,68,107,graph_npz/batch_0/107.npz
108,336.15,59,64,108,graph_npz/batch_0/108.npz
109,367.65,58,63,109,graph_npz/batch_0/109.npz
110,369.55,57,62,110,graph_npz/batch_0/110.npz
111,369.85,56,61,111,graph_npz/batch_0/111.npz
112,380.95,55,60,112,graph_npz/batch_0/112.npz
113,390.85,54,59,113,graph_npz/batch_0/113.npz
114,395.15,77,84,114,graph_npz/batch_0/114.npz
115,353.15,16,15,115,graph_npz/batch_0/115.npz
116,283.15,21,21,116,graph_npz/batch_0/116.npz
117,318.15,48,52,117,graph_npz/batch_0/117.npz
118,325.15,63,67,118,graph_npz/batch_0/118.npz
119,347.15,63,67,119,graph_npz/batch_0/119.npz
120,328.15,88,97,120,graph_npz/batch_0/120.npz
121,304.15,63,67,121,graph_npz/batch_0/121.npz
122,310.15,53,57,122,graph_npz/batch_0/122.npz
123,291.15,43,47,123,graph_npz/batch_0/123.npz
124,253.15,63,67,124,graph_npz/batch_0/124.npz
125,355.15,44,48,125,graph_npz/batch_0/125.npz
126,342.15,73,82,126,graph_npz/batch_0/126.npz
127,327.15,71,79,127,graph_npz/batch_0/127.npz
128,295.15,19,18,128,graph_npz/batch_0/128.npz
129,277.15,24,23,129,graph_npz/batch_0/129.npz
130,255.15,29,28,130,graph_npz/batch_0/130.npz
131,279.15,29,28,131,graph_npz/batch_0/131.npz
132,257.15,34,33,132,graph_npz/batch_0/132.npz
133,255.15,44,43,133,graph_npz/batch_0/133.npz
134,252.15,13,12,134,graph_npz/batch_0/134.npz
135,217.15,14,13,135,graph_npz/batch_0/135.npz
136,233.15,13,12,136,graph_npz/batch_0/136.npz
137,305.15,61,68,137,graph_npz/batch_0/137.npz
138,352.15,49,54,138,graph_npz/batch_0/138.npz
139,434.15,43,47,139,graph_npz/batch_0/139.npz
140,451.15,53,59,140,graph_npz/batch_0/140.npz
141,452.15,30,33,141,graph_npz/batch_0/141.npz
142,468.15,50,56,142,graph_npz/batch_0/142.npz
143,471.15,63,71,143,graph_npz/batch_0/143.npz
144,449.15,44,49,144,graph_npz/batch_0/144.npz
145,444.15,48,54,145,graph_npz/batch_0/145.npz
146,415.15,19,20,146,graph_npz/batch_0/146.npz
147,403.15,20,21,147,graph_npz/batch_0/147.npz
148,383.15,21,22,148,graph_npz/batch_0/148.npz
149,379.15,22,23,149,graph_npz/batch_0/149.npz
150,431.15,24,26,150,graph_npz/batch_0/150.npz
151,430.15,26,28,151,graph_npz/batch_0/151.npz
152,414.15,50,55,152,graph_npz/batch_0/152.npz
153,423.15,60,67,153,graph_npz/batch_0/153.npz
154,450.15,70,79,154,graph_npz/batch_0/154.npz
155,438.15,55,62,155,graph_npz/batch_0/155.npz
156,521.15,61,68,156,graph_npz/batch_0/156.npz
157,560.15,53,59,157,graph_npz/batch_0/157.npz
158,447.15,57,64,158,graph_npz/batch_0/158.npz
159,435.15,51,57,159,graph_npz/batch_0/159.npz
160,526.15,39,44,160,graph_npz/batch_0/160.npz
161,451.15,26,28,161,graph_npz/batch_0/161.npz
162,452.15,30,33,162,graph_npz/batch_0/162.npz
163,463.15,46,52,163,graph_npz/batch_0/163.npz
164,463.15,40,45,164,graph_npz/batch_0/164.npz
165,406.15,22,22,165,graph_npz/batch_0/165.npz
166,340.15,43,45,166,graph_npz/batch_0/166.npz
167,260.55,36,35,167,graph_npz/batch_0/167.npz
168,257.05,31,30,168,graph_npz/batch_0/168.npz
169,250.15,26,25,169,graph_npz/batch_0/169.npz
170,353.15,41,43,170,graph_npz/batch_0/170.npz
171,403.15,47,50,171,graph_npz/batch_0/171.npz
172,351.15,35,35,172,graph_npz/batch_0/172.npz
173,357.15,31,31,173,graph_npz/batch_0/173.npz
174,369.15,27,27,174,graph_npz/batch_0/174.npz
175,377.15,23,23,175,graph_npz/batch_0/175.npz
176,399.15,19,19,176,graph_npz/batch_0/176.npz
177,345.15,14,14,177,graph_npz/batch_0/177.npz
178,323.15,15,15,178,graph_npz/batch_0/178.npz
179,381.15,21,22,179,graph_npz/batch_0/179.npz
180,440.15,33,36,180,graph_npz/batch_0/180.npz
181,498.15,22,24,181,graph_npz/batch_0/181.npz
182,408.15,44,49,182,graph_npz/batch_0/182.npz
183,460.65,69,68,183,graph_npz/batch_0/183.npz
184,447.15,39,38,184,graph_npz/batch_0/184.npz
185,340.15,22,21,185,graph_npz/batch_0/185.npz
186,212.65,22,22,186,graph_npz/batch_0/186.npz
187,351.15,40,43,187,graph_npz/batch_0/187.npz
188,329.15,37,40,188,graph_npz/batch_0/188.npz
189,373.15,33,35,189,graph_npz/batch_0/189.npz
190,452.15,19,20,190,graph_npz/batch_0/190.npz
191,425.15,26,28,191,graph_npz/batch_0/191.npz
192,421.15,19,20,192,graph_npz/batch_0/192.npz
193,487.65,18,19,193,graph_npz/batch_0/193.npz
194,466.15,24,26,194,graph_npz/batch_0/194.npz
195,396.65,39,41,195,graph_npz/batch_0/195.npz
196,387.65,37,39,196,graph_npz/batch_0/196.npz
197,401.15,43,46,197,graph_npz/batch_0/197.npz
198,425.15,19,19,198,graph_npz/batch_0/198.npz
199,509.15,26,27,199,graph_npz/batch_0/199.npz
200,473.15,26,27,200,graph_npz/batch_0/200.npz
201,357.15,26,25,201,graph_npz/batch_0/201.npz
202,357.15,23,22,202,graph_npz/batch_0/202.npz
203,362.15,22,21,203,graph_npz/batch_0/203.npz
204,360.15,21,20,204,graph_npz/batch_0/204.npz
205,379.15,20,19,205,graph_npz/batch_0/205.npz
206,359.15,20,20,206,graph_npz/batch_0/206.npz
207,436.15,24,24,207,graph_npz/batch_0/207.npz
208,408.15,39,41,208,graph_npz/batch_0/208.npz
209,473.15,48,51,209,graph_npz/batch_0/209.npz
210,386.15,19,18,210,graph_npz/batch_0/210.npz
211,373.15,18,17,211,graph_npz/batch_0/211.npz
212,396.15,17,16,212,graph_npz/batch_0/212.npz
213,462.15,16,16,213,graph_npz/batch_0/213.npz
214,477.15,26,27,214,graph_npz/batch_0/214.npz
215,465.15,26,27,215,graph_npz/batch_0/215.npz
216,513.15,17,17,216,graph_npz/batch_0/216.npz
217,507.15,20,20,217,graph_npz/batch_0/217.npz
218,476.65,23,23,218,graph_npz/batch_0/218.npz
219,466.15,25,25,219,graph_npz/batch_0/219.npz
220,523.15,69,76,220,graph_npz/batch_0/220.npz
221,439.15,70,75,221,graph_npz/batch_0/221.npz
222,523.15,28,30,222,graph_npz/batch_0/222.npz
223,475.15,51,56,223,graph_npz/batch_0/223.npz
224,612.15,35,38,224,graph_npz/batch_0/224.npz
225,521.65,67,73,225,graph_npz/batch_0/225.npz
226,524.65,73,79,226,graph_npz/batch_0/226.npz
227,551.15,77,86,227,graph_npz/batch_0/227.npz
228,553.15,44,48,228,graph_npz/batch_0/228.npz
229,544.15,32,34,229,graph_npz/batch_0/229.npz
230,557.25,39,41,230,graph_npz/batch_0/230.npz
231,508.15,61,69,231,graph_npz/batch_0/231.npz
232,498.15,54,58,232,graph_npz/batch_0/232.npz
233,513.15,52,56,233,graph_npz/batch_0/233.npz
234,566.65,74,81,234,graph_npz/batch_0/234.npz
235,617.15,74,81,235,graph_npz/batch_0/235.npz
236,628.15,47,51,236,graph_npz/batch_0/236.npz
237,523.15,74,81,237,graph_npz/batch_0/237.npz
238,439.15,40,43,238,graph_npz/batch_0/238.npz
239,557.15,43,48,239,graph_npz/batch_0/239.npz
240,468.15,46,50,240,graph_npz/batch_0/240.npz
241,423.15,51,55,241,graph_npz/batch_0/241.npz
242,468.15,46,50,242,graph_npz/batch_0/242.npz
243,493.15,44,48,243,graph_npz/batch_0/243.npz
244,508.15,43,47,244,graph_npz/batch_0/244.npz
245,511.15,55,60,245,graph_npz/batch_0/245.npz
246,558.15,36,39,246,graph_npz/batch_0/246.npz
247,575.15,36,39,247,graph_npz/batch_0/247.npz
248,521.55,32,34,248,graph_npz/batch_0/248.npz
249,507.35,34,36,249,graph_npz/batch_0/249.npz
250,504.85,36,38,250,graph_npz/batch_0/250.npz
251,556.55,26,27,251,graph_npz/batch_0/251.npz
252,594.15,29,31,252,graph_npz/batch_0/252.npz
253,600.15,29,31,253,graph_npz/batch_0/253.npz
254,439.15,38,40,254,graph_npz/batch_0/254.npz
255,525.15,53,58,255,graph_npz/batch_0/255.npz
256,543.15,58,64,256,graph_npz/batch_0/256.npz
257,517.15,47,51,257,graph_npz/batch_0/257.npz
258,516.15,56,61,258,graph_npz/batch_0/258.npz
259,533.15,70,75,259,graph_npz/batch_0/259.npz
260,528.65,53,57,260,graph_npz/batch_0/260.npz
261,545.15,51,57,261,graph_npz/batch_0/261.npz
262,420.65,78,85,262,graph_npz/batch_0/262.npz
263,454.55,81,89,263,graph_npz/batch_0/263.npz
264,480.55,33,35,264,graph_npz/batch_0/264.npz
265,481.2,37,39,265,graph_npz/batch_0/265.npz
266,541.15,31,33,266,graph_npz/batch_0/266.npz
267,433.15,51,55,267,graph_npz/batch_0/267.npz
268,473.15,46,50,268,graph_npz/batch_0/268.npz
269,498.15,44,48,269,graph_npz/batch_0/269.npz
270,513.15,43,47,270,graph_npz/batch_0/270.npz
271,546.15,40,43,271,graph_npz/batch_0/271.npz
272,567.65,36,39,272,graph_npz/batch_0/272.npz
273,578.15,36,39,273,graph_npz/batch_0/273.npz
274,468.65,38,41,274,graph_npz/batch_0/274.npz
275,524.15,47,51,275,graph_npz/batch_0/275.npz
276,503.15,45,49,276,graph_npz/batch_0/276.npz
277,505.65,47,51,277,graph_npz/batch_0/277.npz
278,536.15,56,61,278,graph_npz/batch_0/278.npz
279,556.15,52,57,279,graph_npz/batch_0/279.npz
280,536.15,42,46,280,graph_npz/batch_0/280.npz
281,524.15,40,43,281,graph_npz/batch_0/281.npz
282,503.15,47,51,282,graph_npz/batch_0/282.npz
283,481.15,54,59,283,graph_npz/batch_0/283.npz
284,469.15,39,42,284,graph_npz/batch_0/284.npz
285,573.15,29,31,285,graph_npz/batch_0/285.npz
286,594.15,29,31,286,graph_npz/batch_0/286.npz
287,543.15,58,64,287,graph_npz/batch_0/287.npz
288,449.55,47,51,288,graph_npz/batch_0/288.npz
289,471.15,43,47,289,graph_npz/batch_0/289.npz
290,523.15,63,70,290,graph_npz/batch_0/290.npz
291,358.15,29,29,291,graph_npz/batch_0/291.npz
292,397.15,35,37,292,graph_npz/batch_0/292.npz
293,410.15,38,40,293,graph_npz/batch_0/293.npz
294,393.15,36,38,294,graph_npz/batch_0/294.npz
295,243.15,31,31,295,graph_npz/batch_0/295.npz
296,282.15,31,31,296,graph_npz/batch_0/296.npz
297,290.15,31,31,297,graph_npz/batch_0/297.npz
298,287.15,29,29,298,graph_npz/batch_0/298.npz
299,326.15,78,82,299,graph_npz/batch_0/299.npz
300,333.15,76,80,300,graph_npz/batch_0/300.npz
301,340.15,78,85,301,graph_npz/batch_0/301.npz
302,366.15,72,78,302,graph_npz/batch_0/302.npz
303,334.15,73,79,303,graph_npz/batch_0/303.npz
304,282.15,56,58,304,graph_npz/batch_0/304.npz
305,282.15,52,54,305,graph_npz/batch_0/305.npz
306,280.15,51,53,306,graph_npz/batch_0/306.npz
307,277.15,50,52,307,graph_npz/batch_0/307.npz
308,319.15,66,71,308,graph_npz/batch_0/308.npz
309,356.15,92,94,309,graph_npz/batch_0/309.npz
310,353.15,75,77,310,graph_npz/batch_0/310.npz
311,413.15,70,75,311,graph_npz/batch_0/311.npz
312,392.15,41,44,312,graph_npz/batch_0/312.npz
313,425.15,49,53,313,graph_npz/batch_0/313.npz
314,390.15,46,50,314,graph_npz/batch_0/314.npz
315,425.15,40,42,315,graph_npz/batch_0/315.npz
316,367.15,35,36,316,graph_npz/batch_0/316.npz
317,404.15,42,44,317,graph_npz/batch_0/317.npz
318,367.15,20,20,318,graph_npz/batch_0/318.npz
319,346.15,24,25,319,graph_npz/batch_0/319.npz
320,244.15,15,14,320,graph_npz/batch_0/320.npz
321,235.15,17,16,321,graph_npz/batch_0/321.npz
322,226.15,19,18,322,graph_npz/batch_0/322.npz
323,215.15,21,20,323,graph_npz/batch_0/323.npz
324,214.15,23,22,324,graph_npz/batch_0/324.npz
325,285.65,53,55,325,graph_npz/batch_0/325.npz
326,372.15,36,37,326,graph_npz/batch_0/326.npz
327,386.15,40,42,327,graph_npz/batch_0/327.npz
328,411.15,31,33,328,graph_npz/batch_0/328.npz
329,562.15,74,81,329,graph_npz/batch_0/329.npz
330,552.15,40,44,330,graph_npz/batch_0/330.npz
331,383.15,33,35,331,graph_npz/batch_0/331.npz
332,369.15,52,54,332,graph_npz/batch_0/332.npz
333,385.15,47,48,333,graph_npz/batch_0/333.npz
334,366.15,36,39,334,graph_npz/batch_0/334.npz
335,407.15,28,30,335,graph_npz/batch_0/335.npz
336,329.15,38,40,336,graph_npz/batch_0/336.npz
337,368.15,36,38,337,graph_npz/batch_0/337.npz
338,399.15,33,35,338,graph_npz/batch_0/338.npz
339,443.15,34,36,339,graph_npz/batch_0/339.npz
340,323.15,16,16,340,graph_npz/batch_0/340.npz
341,369.15,26,27,341,graph_npz/batch_0/341.npz
342,318.15,29,30,342,graph_npz/batch_0/342.npz
343,296.15,31,32,343,graph_npz/batch_0/343.npz
344,548.15,66,74,344,graph_npz/batch_0/344.npz
345,563.15,70,80,345,graph_npz/batch_0/345.npz
346,526.15,75,83,346,graph_npz/batch_0/346.npz
347,548.15,79,89,347,graph_npz/batch_0/347.npz
348,566.15,79,90,348,graph_npz/batch_0/348.npz
349,583.15,83,96,349,graph_npz/batch_0/349.npz
350,539.15,60,67,350,graph_npz/batch_0/350.npz
351,422.15,47,50,351,graph_npz/batch_0/351.npz
352,496.15,51,57,352,graph_npz/batch_0/352.npz
353,465.15,42,46,353,graph_npz/batch_0/353.npz
354,533.65,61,68,354,graph_npz/batch_0/354.npz
355,531.65,53,60,355,graph_npz/batch_0/355.npz
356,529.65,69,78,356,graph_npz/batch_0/356.npz
357,539.65,46,52,357,graph_npz/batch_0/357.npz
358,476.15,42,46,358,graph_npz/batch_0/358.npz
359,640.15,36,40,359,graph_npz/batch_0/359.npz
360,584.15,35,39,360,graph_npz/batch_0/360.npz
361,578.15,38,42,361,graph_npz/batch_0/361.npz
362,586.15,34,38,362,graph_npz/batch_0/362.npz
363,531.15,55,62,363,graph_npz/batch_0/363.npz
364,546.15,72,82,364,graph_npz/batch_0/364.npz
365,549.15,72,82,365,graph_npz/batch_0/365.npz
366,459.15,44,49,366,graph_npz/batch_0/366.npz
367,480.15,47,52,367,graph_npz/batch_0/367.npz
368,697.15,32,36,368,graph_npz/batch_0/368.npz
369,574.15,51,58,369,graph_npz/batch_0/369.npz
370,527.15,35,39,370,graph_npz/batch_0/370.npz
371,536.15,34,38,371,graph_npz/batch_0/371.npz
372,526.15,35,39,372,graph_npz/batch_0/372.npz
373,554.15,51,58,373,graph_npz/batch_0/373.npz
374,548.65,51,58,374,graph_npz/batch_0/374.npz
375,623.15,20,21,375,graph_npz/batch_0/375.npz
376,590.15,34,36,376,graph_npz/batch_0/376.npz
377,548.15,38,40,377,graph_npz/batch_0/377.npz
378,486.35,34,36,378,graph_npz/batch_0/378.npz
379,560.15,43,48,379,graph_npz/batch_0/379.npz
380,512.15,57,64,380,graph_npz/batch_0/380.npz
381,506.15,70,79,381,graph_npz/batch_0/381.npz
382,476.15,40,44,382,graph_npz/batch_0/382.npz
383,476.65,32,35,383,graph_npz/batch_0/383.npz
384,488.15,39,43,384,graph_npz/batch_0/384.npz
385,521.15,49,55,385,graph_npz/batch_0/385.npz
386,508.15,43,48,386,graph_npz/batch_0/386.npz
387,478.15,49,55,387,graph_npz/batch_0/387.npz
388,446.15,38,42,388,graph_npz/batch_0/388.npz
389,551.15,66,75,389,graph_npz/batch_0/389.npz
390,535.15,66,75,390,graph_npz/batch_0/390.npz
391,532.15,68,78,391,graph_npz/batch_0/391.npz
392,511.15,62,71,392,graph_npz/batch_0/392.npz
393,516.15,51,58,393,graph_npz/batch_0/393.npz
394,393.15,39,43,394,graph_npz/batch_0/394.npz
395,518.15,60,68,395,graph_npz/batch_0/395.npz
396,506.15,62,70,396,graph_npz/batch_0/396.npz
397,473.175,36,40,397,graph_npz/batch_0/397.npz
398,425.15,32,35,398,graph_npz/batch_0/398.npz
399,420.15,43,47,399,graph_npz/batch_0/399.npz
400,447.15,42,46,400,graph_npz/batch_0/400.npz
401,439.15,38,42,401,graph_npz/batch_0/401.npz
402,430.15,25,27,402,graph_npz/batch_0/402.npz
403,422.15,29,31,403,graph_npz/batch_0/403.npz
404,395.15,39,43,404,graph_npz/batch_0/404.npz
405,458.15,62,67,405,graph_npz/batch_0/405.npz
406,448.15,40,43,406,graph_npz/batch_0/406.npz
407,470.15,12,12,407,graph_npz/batch_0/407.npz
408,409.15,14,14,408,graph_npz/batch_0/408.npz
409,397.15,15,15,409,graph_npz/batch_0/409.npz
410,356.65,16,16,410,graph_npz/batch_0/410.npz
411,319.05,18,18,411,graph_npz/batch_0/411.npz
412,303.15,19,19,412,graph_npz/batch_0/412.npz
413,533.15,56,63,413,graph_npz/batch_0/413.npz
414,558.65,55,62,414,graph_npz/batch_0/414.npz
415,559.15,48,54,415,graph_npz/batch_0/415.npz
416,580.15,47,53,416,graph_npz/batch_0/416.npz
417,586.15,42,47,417,graph_npz/batch_0/417.npz
418,527.15,47,53,418,graph_npz/batch_0/418.npz
419,541.15,46,52,419,graph_npz/batch_0/419.npz
420,547.15,39,44,420,graph_npz/batch_0/420.npz
421,639.15,32,34,421,graph_npz/batch_0/421.npz
422,618.15,40,43,422,graph_npz/batch_0/422.npz
423,489.57,32,35,423,graph_npz/batch_0/423.npz
424,403.15,22,23,424,graph_npz/batch_0/424.npz
425,348.15,35,37,425,graph_npz/batch_0/425.npz
426,525.15,53,60,426,graph_npz/batch_0/426.npz
427,473.15,19,20,427,graph_npz/batch_0/427.npz
428,532.15,41,46,428,graph_npz/batch_0/428.npz
429,533.15,55,62,429,graph_npz/batch_0/429.npz
430,545.15,52,59,430,graph_npz/batch_0/430.npz
431,563.15,52,59,431,graph_npz/batch_0/431.npz
432,525.15,55,62,432,graph_npz/batch_0/432.npz
433,546.65,51,58,433,graph_npz/batch_0/433.npz
434,518.15,57,65,434,graph_npz/batch_0/434.npz
435,533.15,55,62,435,graph_npz/batch_0/435.npz
436,555.15,52,59,436,graph_npz/batch_0/436.npz
437,463.15,56,63,437,graph_npz/batch_0/437.npz
438,502.15,35,39,438,graph_npz/batch_0/438.npz
439,478.15,41,46,439,graph_npz/batch_0/439.npz
440,460.15,46,50,440,graph_npz/batch_0/440.npz
441,440.15,30,33,441,graph_npz/batch_0/441.npz
442,498.15,38,41,442,graph_npz/batch_0/442.npz
443,518.15,73,83,443,graph_npz/batch_0/443.npz
444,549.15,58,66,444,graph_npz/batch_0/444.npz
445,555.15,58,66,445,graph_npz/batch_0/445.npz
446,504.15,56,63,446,graph_npz/batch_0/446.npz
447,503.15,56,63,447,graph_npz/batch_0/447.npz
448,496.15,42,47,448,graph_npz/batch_0/448.npz
449,516.15,75,86,449,graph_npz/batch_0/449.npz
450,541.15,60,69,450,graph_npz/batch_0/450.npz
451,496.15,69,79,451,graph_npz/batch_0/451.npz
452,515.15,54,62,452,graph_npz/batch_0/452.npz
453,586.15,68,77,453,graph_npz/batch_0/453.npz
454,585.15,72,83,454,graph_npz/batch_0/454.npz
455,452.15,34,37,455,graph_npz/batch_0/455.npz
456,533.15,68,76,456,graph_npz/batch_0/456.npz
457,563.15,72,82,457,graph_npz/batch_0/457.npz
458,442.15,40,44,458,graph_npz/batch_0/458.npz
459,401.15,46,51,459,graph_npz/batch_0/459.npz
460,425.15,40,44,460,graph_npz/batch_0/460.npz
461,495.15,47,52,461,graph_npz/batch_0/461.npz
462,454.15,51,55,462,graph_npz/batch_0/462.npz
463,435.15,41,44,463,graph_npz/batch_0/463.npz
464,463.15,43,47,464,graph_npz/batch_0/464.npz
465,448.15,39,42,465,graph_npz/batch_0/465.npz
466,504.15,58,66,466,graph_npz/batch_0/466.npz
467,502.15,59,66,467,graph_npz/batch_0/467.npz
468,515.15,45,51,468,graph_npz/batch_0/468.npz
469,487.15,40,45,469,graph_npz/batch_0/469.npz
470,533.15,47,54,470,graph_npz/batch_0/470.npz
471,525.15,43,49,471,graph_npz/batch_0/471.npz
472,468.15,42,48,472,graph_npz/batch_0/472.npz
473,526.15,52,59,473,graph_npz/batch_0/473.npz
474,488.15,69,78,474,graph_npz/batch_0/474.npz
475,525.15,54,61,475,graph_npz/batch_0/475.npz
476,539.15,61,68,476,graph_npz/batch_0/476.npz
477,516.15,53,60,477,graph_npz/batch_0/477.npz
478,474.15,60,68,478,graph_npz/batch_0/478.npz
479,548.65,55,62,479,graph_npz/batch_0/479.npz
480,418.15,52,57,480,graph_npz/batch_0/480.npz
481,423.65,31,34,481,graph_npz/batch_0/481.npz
482,419.15,38,41,482,graph_npz/batch_0/482.npz
483,419.15,37,41,483,graph_npz/batch_0/483.npz
484,407.15,34,37,484,graph_npz/batch_0/484.npz
485,430.15,30,33,485,graph_npz/batch_0/485.npz
486,498.15,28,30,486,graph_npz/batch_0/486.npz
487,493.15,32,34,487,graph_npz/batch_0/487.npz
488,521.15,36,38,488,graph_npz/batch_0/488.npz
489,397.15,38,42,489,graph_npz/batch_0/489.npz
490,479.15,46,51,490,graph_npz/batch_0/490.npz
491,471.15,45,49,491,graph_npz/batch_0/491.npz
492,459.15,40,44,492,graph_npz/batch_0/492.npz
493,478.15,33,36,493,graph_npz/batch_0/493.npz
494,427.15,17,18,494,graph_npz/batch_0/494.npz
495,662.15,60,71,495,graph_npz/batch_0/495.npz
496,483.15,53,60,496,graph_npz/batch_0/496.npz
497,467.15,60,68,497,graph_npz/batch_0/497.npz
